,job titeles
0,"<h2 class=""css-m604qf""><style data-emotion=""css o171kl"">.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}</style><a class=""css-o171kl"" href=""/jobs/p/MuFjKDO211Wz-Python-Django-Developer-Support-Legal-Dubai-United-Arab-Emirates?o=1&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Python Django Developer</a></h2>"
1,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/D1SveKDFDc3V-Senior-Python-Engineer-Brainology-Cairo-Egypt?o=2&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Senior Python Engineer</a></h2>"
2,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/lXUto1XGcCgE-JavaPython-Developer-Nabd-Cairo-Egypt?o=3&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Java/Python Developer</a></h2>"
3,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/Wp5vF3QM9wPh-Senior-Software-Engineer---Python-Unifonic-Cairo-Egypt?o=4&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Senior Software Engineer - Python</a></h2>"
4,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/UKNVnOsS4BfJ-Senior-Python-Developer-El-Sewedy-Electrometer-Giza-Egypt?o=5&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Senior Python Developer</a></h2>"
5,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/T2ShpO8q8U6v-Python-Tech-Lead-Eastern-Enterprise-Cairo-Egypt?o=6&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Python Tech Lead</a></h2>"
6,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/0OeQGGfutVBJ-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=7&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Senior Backend (Python) Engineer - Customer Domain</a></h2>"
7,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/EVPLF753qKO9-Experienced-PythonDjango-Developer-Infoblink-Giza-Egypt?o=8&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Experienced Python/Django Developer</a></h2>"
8,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/rP4CGFeghsV8-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=9&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Senior Software Engineer - Python</a></h2>"
9,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/ozNvZB5j3qEr-Python-Full-Stack-Developer-Luftborn-Cairo-Egypt?o=10&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Python Full Stack Developer</a></h2>"
10,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/i7fFHv9T5dz2-Python-Backend-Developer-Remote-First-Estafsar-Cairo-Egypt?o=11&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Python Backend Developer (Remote-First)</a></h2>"
11,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/9dZvnXGAIqxa-Python-Developer-Trufla-Cairo-Egypt?o=12&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Python Developer</a></h2>"
12,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/HWFKGycu1asv-Python-Back-End-Developer-TA-telecom-Cairo-Egypt?o=13&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Python Back End Developer</a></h2>"
13,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/3FghnMWyXAt8-Senior-Python-Developer-Andela-Cairo-Egypt?o=14&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Senior Python Developer</a></h2>"
14,"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/RLp3nmKZwQx1-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=15&amp;l=sp&amp;t=sj&amp;a=python|search-v3|hpb"" rel=""noreferrer"" target=""_blank"">Python API Developer Ocucon Team (UK) - (Alexandria)</a></h2>"
15,Python Django Developer
16,Senior Python Engineer
17,Java/Python Developer
18,Senior Software Engineer - Python
19,Senior Python Developer
20,Python Tech Lead
21,Senior Backend (Python) Engineer - Customer Domain
22,Experienced Python/Django Developer
23,Senior Software Engineer - Python
24,Python Full Stack Developer
25,Python Backend Developer (Remote-First)
26,Python Developer
27,Python Back End Developer
28,Senior Python Developer
29,Python API Developer Ocucon Team (UK) - (Alexandria)
